學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,學生編號
084507,2,0,0,0,0,00:00:00,084507_s00121
084507,6,0,0,1,0,00:02:53,084507_s00122
084507,1,0,0,0,0,00:00:00,084507_s00123
084507,1,0,0,0,0,00:00:00,084507_s00124
084507,11,0,6,3,5,00:36:01,084507_s00125
084507,6,0,3,0,1,00:00:02,084507_s00126
084507,2,0,1,0,2,00:04:31,084507_s00127
084507,2,0,0,0,2,00:24:35,084507_s00128
084507,5,0,7,0,9,00:11:50,084507_s00129
084507,3,0,8,0,1,00:00:00,084507_s00130
084507,2,0,1,0,1,00:02:00,084507_s00131
084507,12,0,13,0,2,00:00:08,084507_s00132
084507,3,0,1,0,2,00:11:34,084507_s00133
084507,10,0,6,0,4,00:02:01,084507_s00134
084507,2,0,0,0,3,00:10:16,084507_s00135
084507,5,0,8,0,6,00:06:58,084507_s00136
084507,8,0,26,0,2,00:00:00,084507_s00137
084507,3,0,2,0,5,00:14:17,084507_s00138
084507,3,0,1,0,6,00:17:56,084507_s00139
084507,5,0,8,0,0,00:00:00,084507_s00140
084507,3,0,1,0,2,00:08:11,084507_s00141
084507,8,0,7,0,17,02:04:41,084507_s00142
084507,3,0,2,0,3,00:04:15,084507_s00143
084507,7,0,6,0,10,00:26:49,084507_s00144
084507,7,0,12,0,5,00:04:29,084507_s00145
084507,5,0,0,0,9,01:12:03,084507_s00146
084507,3,0,0,0,3,00:19:07,084507_s00147
084507,2,0,3,0,4,00:03:03,084507_s00148
084507,1,0,0,0,1,00:00:08,084507_s00149
084507,9,0,4,0,14,01:38:31,084507_s00150
084507,2,0,5,0,6,00:01:04,084507_s00151
084507,2,0,0,0,2,00:10:13,084507_s00152
084507,1,0,2,0,0,00:00:00,084507_s00153
084507,1,0,1,0,0,00:00:00,084507_s00154
084507,1,0,3,0,0,00:00:00,084507_s00155
084507,1,0,1,0,1,00:00:00,084507_s00156
084507,1,0,1,0,0,00:00:00,084507_s00157
084507,1,0,2,0,0,00:00:00,084507_s00158
084507,4,0,0,0,0,00:00:00,084507_s00159
084507,3,0,3,0,0,00:00:00,084507_s00160
084507,1,0,0,0,0,00:00:00,084507_s00161
084507,1,0,3,0,0,00:00:00,084507_s00162
084507,1,0,1,0,1,00:00:00,084507_s00163
084507,2,0,0,0,0,00:00:00,084507_s00164
084507,1,0,1,0,0,00:00:00,084507_s00165
084507,2,0,7,0,0,00:00:00,084507_s00166
084507,1,0,0,0,0,00:00:00,084507_s00167
084507,1,0,0,0,0,00:00:00,084507_s00168
084507,1,0,0,0,0,00:00:00,084507_s00169
084507,1,0,1,0,0,00:00:00,084507_s00170
084507,1,0,0,0,0,00:00:00,084507_s00171
084507,1,0,0,0,0,00:00:00,084507_s00172
084507,1,0,0,0,0,00:00:00,084507_s00173
084507,4,0,1,0,0,00:00:00,084507_s00174
084507,1,0,2,0,0,00:00:00,084507_s00175
084507,1,0,1,0,0,00:00:00,084507_s00176
084507,1,0,1,0,0,00:00:00,084507_s00177
084507,29,1,44,2,1,00:25:47,084507_s00178
084507,17,1,2,2,9,03:04:40,084507_s00179
084507,52,1,29,4,14,03:28:07,084507_s00180
084507,16,0,9,4,1,00:21:13,084507_s00181
084507,18,1,61,2,6,00:24:07,084507_s00182
084507,63,1,62,2,5,00:44:18,084507_s00183
084507,77,1,105,2,33,05:54:08,084507_s00184
084507,39,1,26,4,51,07:20:07,084507_s00185
084507,31,1,14,3,2,00:36:57,084507_s00186
084507,32,0,22,2,32,03:09:13,084507_s00187
084507,9,1,8,2,4,00:17:45,084507_s00188
084507,38,0,21,2,41,04:08:37,084507_s00189
